[11:12:03.559 INF] [T:1] [Game] Logger setup was successful: Game
[11:12:03.698 DBG] [T:1] [Game] [Engine] Discovered '12' commands: [19999, 10007, 10006, 10000, 10008, 10010, 10009, 10001, 10004, 10005, 10003, 10002]
[11:12:03.701 INF] [T:1] [Game] The server Game is initialized.
[11:12:59.660 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 85
[11:12:59.676 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 85
[11:12:59.692 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 85
[11:12:59.709 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 88
[11:12:59.725 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 88
[11:12:59.741 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 88
[11:12:59.756 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 91
[11:12:59.772 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 91
[11:12:59.789 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 91
[11:12:59.804 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 91
[11:12:59.821 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 95
[11:12:59.836 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 95
[11:12:59.852 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 95
[11:12:59.868 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 98
[11:12:59.884 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 98
[11:12:59.901 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 98
[11:12:59.917 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 101
[11:12:59.933 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 101
[11:12:59.948 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 101
[11:12:59.964 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 101
[11:12:59.981 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 105
[11:12:59.997 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 105
[11:13:00.013 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 105
[11:13:00.029 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 108
[11:13:00.045 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 108
[11:13:00.061 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 108
[11:13:00.077 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 111
[11:13:00.092 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 111
[11:13:00.108 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 111
[11:13:00.125 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 111
[11:13:00.140 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 115
[11:13:00.157 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 115
[11:13:00.172 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 115
[11:13:00.189 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 118
[11:13:00.204 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 118
[11:13:00.220 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 118
[11:13:00.236 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 121
[11:13:00.253 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 121
[11:13:00.268 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 121
[11:13:00.285 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 121
[11:13:00.300 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 125
[11:13:00.316 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 125
[11:13:00.332 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 125
[11:13:00.348 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 128
[11:13:00.364 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 128
[11:13:00.380 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 128
[11:13:00.396 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 128
[11:13:00.412 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 132
[11:13:00.428 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 132
[11:13:00.444 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 132
[11:13:00.461 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 135
[11:13:00.477 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 135
[11:13:00.493 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 135
[11:13:00.509 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 135
[11:13:00.524 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 139
[11:13:00.541 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 139
[11:13:00.556 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 139
[11:13:00.572 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 142
[11:13:00.588 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 142
[11:13:00.604 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 142
[11:13:00.620 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 145
[11:13:00.636 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 145
[11:13:00.653 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 145
