[14:59:23.509 INF] [T:1] [Rank] Logger setup was successful: Rank
[14:59:23.641 DBG] [T:1] [Rank] [Engine] Discovered '5' commands: [3003, 3002, 3001, 3000, 1000]
[14:59:23.642 INF] [T:1] [Rank] The server Rank is initialized.
[14:59:23.646 INF] [T:7] [PerfMonitor] Time:2026-03-27 05:59:23.644Z CPU=0.6% WS=63.36MB Managed=761.56KB Threads=17
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[14:59:23.916 INF] [T:1] [Rank] [Daily] Season loaded. kind="Daily", num=96, state="Running", start="2026-03-23T00:00:00.0000000+09:00", end="2026-03-24T00:00:00.0000000+09:00"
[14:59:23.918 INF] [T:1] [Rank] Listener (0.0.0.0:20001:"Tcp") was started.
[14:59:23.920 INF] [T:1] [Rank] The server instance Rank was been started!
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[15:19:53.618 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:19:52.617Z CPU=0.0% WS=77.94MB Managed=10.90MB Threads=35
[15:20:23.616 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:20:22.617Z CPU=0.0% WS=77.92MB Managed=11.39MB Threads=34
[15:20:53.616 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:20:52.615Z CPU=0.0% WS=77.92MB Managed=11.87MB Threads=34
[15:21:23.615 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:21:22.616Z CPU=0.0% WS=77.95MB Managed=12.37MB Threads=36
[15:21:53.616 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:21:52.615Z CPU=0.0% WS=77.95MB Managed=12.85MB Threads=36
[15:22:23.729 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:22:22.728Z CPU=0.0% WS=77.94MB Managed=13.34MB Threads=34
[15:22:53.730 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:22:52.728Z CPU=0.0% WS=77.95MB Managed=13.84MB Threads=35
[15:23:23.729 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:23:22.730Z CPU=0.0% WS=78.02MB Managed=14.32MB Threads=36
[15:23:53.730 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:23:52.730Z CPU=0.0% WS=77.97MB Managed=14.81MB Threads=34
[15:24:23.730 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:24:22.730Z CPU=0.0% WS=77.97MB Managed=15.28MB Threads=34
[15:24:53.731 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:24:52.731Z CPU=0.0% WS=77.97MB Managed=15.76MB Threads=34
[15:25:23.731 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:25:22.730Z CPU=0.0% WS=77.97MB Managed=16.24MB Threads=34
[15:25:53.731 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:25:52.730Z CPU=0.0% WS=77.97MB Managed=16.73MB Threads=34
[15:26:23.731 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:26:22.732Z CPU=0.0% WS=77.97MB Managed=17.22MB Threads=34
[15:26:53.732 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:26:52.732Z CPU=0.0% WS=77.98MB Managed=10.03MB Threads=35
[15:27:23.732 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:27:22.732Z CPU=0.0% WS=77.98MB Managed=10.53MB Threads=35
[15:27:53.733 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:27:52.733Z CPU=0.0% WS=77.97MB Managed=11.01MB Threads=34
[15:28:23.733 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:28:22.733Z CPU=0.0% WS=77.97MB Managed=11.48MB Threads=34
[15:28:53.734 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:28:52.733Z CPU=0.0% WS=77.98MB Managed=11.97MB Threads=35
[15:29:23.734 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:29:22.733Z CPU=0.0% WS=77.97MB Managed=12.46MB Threads=34
[15:29:53.734 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:29:52.734Z CPU=0.0% WS=78.38MB Managed=12.95MB Threads=35
[15:30:23.734 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:30:22.734Z CPU=0.0% WS=78.39MB Managed=13.44MB Threads=35
[15:30:53.735 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:30:52.734Z CPU=0.0% WS=78.42MB Managed=13.94MB Threads=36
[15:31:23.735 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:31:22.735Z CPU=0.0% WS=78.39MB Managed=14.42MB Threads=34
